# form	pos	lemma	sense	freq
འབམ་ནད			rot-sickness [from bad blood and pus descending there are swollen legs and blue black color, having divisions of white, black, and multi-colored.]. rot-sickness, gout, rheumatism
འབམ་པ			1) putref[action]; 2) rot[ten]
འབམ་པོ			'bam po, a field herb med. [or an essence boiled a long time] tasting hot and bitter, body heat neutral, which rubbed externally cures swelling, and taken internally eliminates abscesses.]. 'bam po, a field herb medicine
འབམ་ཚོང			compel to buy bad goods at exorbitant prices, monopoly
འབམ་རོལ་བཀའ་བརྒྱུད			Barom Kagyu
འབམ་ཚོང་སྤུས་སྒྱུར			masters by compulsion exploiting common people in business or, after distributing money realizing great profit
འབན་དྷ་ཧོར			{sha ra yu gur}
འབང་བ			be soaked/ macerated
འབང་ཤིག			1) servant; 2) serf
འབངས			1) people; 2) subjects [monastic]; 3) commoner; 4) servant, attendant; 5) dependent; 6) serf
འབངས་འཁོར			1) servant; 2) serf
འབངས་དམངས			common people, masses
འབངས་དཔོན			subjects and chiefs
འབངས་མི			1) people; 2) subjects [monastic]; 3) commoner; 4) servant, attendant; 5) dependent; 6) serf
འབངས་མོ			female servant/ attendant
འབངས་རིགས			servant from the subject/ serf class
འབངས་སུ་བྱེད			subjugate, use as a servant/ slave
འབངས་སུ་འཁོལ་བ			use as a servant/ slave, gyag tu bkol thub pa
འབངས་ཀྱི་སྲོག་ལྷ་བཅུ་གཉིས			bangs kyi 12 life deities CHN
འབངས་འཁོར་གཡོག་རིགས			external serfs and/ or inner attendants
འབངས་མི་སེར			1) people; 2) subjects [monastic]; 3) commoner; 4) servant, attendant; 5) dependent; 6) serf
འབངས་མཁོའི་གནམ་གྲུ			planes for civil transport
འབངས་གཉུག་མ			1 who always remains a servant
འབངས་གྱེན་ལོག			servants who harm or dispute w their masters
འབར			catch fire, explode, burn, blaze. shining, glowing, resplendent, radiant, flaming, ablaze, burning, shine, glow, flame. be ablaze, burn, catch fire
འབར་འབར			1) long scolding or disparaging; 2) blaze w anger; 3) fire burning for a long time/ distance; 4) high pointed hill
འབར་འབུར			{'bar 'bur} bumpy skin disease, slopes and curves, bumpy uneven surface
འབར་འཛག			1) blaze up and flow down; 2) blazing and dripping (/ [as Candali blazes up, amrita flows down]
འབར་བ			1) glow; 2) blaz[ing]; 3) flare up; 4) burn; 5) spread like fire; 6) scold
འབར་བའི			blazing
འབར་བྱེད			the blazer, fire
འབར་གས			rdzas mdel 'bar zhing kha split, blazingly scold , by what self appears others 'bar gtag btang ba
འབར་གཤག			After things are burned by fire rocks, stones etc. left
འབར་གཏོར			me rdzas after burning rocks and so forth are fragmented, explosion, blowing up, demolishing
འབར་ཁམས			'bar khams town/region [R] ; 1) 'bar khams town [in rnga ba region a seat of government; 2) 'bar khams dzong)/ [in si khron great region rnga ba in central Tibet and above rgyal rong rgyal mo rngul chu]. 'bar khams town/ region
འབར་ལུང			oxygen
འབར་མ			Burma
འབར་མདེལ			explosives, weapon made of fire substances, bomb, [explosive] mine, dynamite
འབར་མེ			blazing/ spreading fire, flame
འབར་རྫས			fuel; flammable/ blazing substances, fuel, explosives
འབར་ཤ			1) deprecating words; 2) threatening words; 3) yelling, scolding
འབར་ཤིང			match
འབར་ཚག			pockmarks [-ed]
འབར་ཞུན			match
འབར་གཤག་གཏོང			After things are burned by fire rocks, stones etc. left
འབར་གཡུག་གནམ་གྲུ			bomber [plane]
འབར་བའི་མིག			[met] the 1 w blazing eyes, cat
འབར་བའི་གར་དགུ			[CHN]
འབར་བའི་སྒྲ་ཅན			having the sound of blazing, Fire god Agnideva
འབར་བའི་རལ་པ་ཅན			blazing locks, torch
འབར་བའི་ལྕེ་ལྡན			[met.] the 1 having a blazing tongue, fire
འབར་བའི་ཉམས་དགུ			the 9 expressions of splendor [of a heruka [coquettish, heroic, terrifying, wild, gshed, awesome, compassionate, peaceful, wrathful]
འབར་བའི་རྣམ་རོལ			1) flaming/ blazing; 2) display of manifestations
འབར་བའི་རོ་འཛིན			grasper of the taste of blazing, tongue of flame
འབར་བའི་ཕྱག་རྒྱ			mudra of blazing, mudra of splendor
འབར་བཞིན་དུ་རྒྱངས་བཅད་པར་ཡང་འགྲོ			shoot out like fire
འབར་བར་བྱེད་པ			blaze
འབར་མེ་ལྟར			blaze like fire
འབར་མ་སོང་བའི་འབར་མདེལ			dud bomb
འབར་གཏོར་བྱེད			me rdzas after burning rocks and so forth are fragmented, explosion, blowing up, demolishing
འབར་གཏོར་གཏོང			me rdzas after burning rocks and so forth are fragmented, explode, blow up, demolish
འབར་རྫས་སྣུམ་རིགས			fuel oils
འབར་མེད་ལྷུན་གྲུབ་ཏུ་མཛད་པ་གསུམ			the 3-fold effortless and spontaneous action
འབར་རི་འབུར་རི			bumpy; 1) rough [ground], bumpy uneven surface; 2) swollen
འབར་བ་གསུམ			three blazes [the blazing of blissful warmth in the body the blazing of potency in speech and the blazing of realization in the mind.]. three blazes [the blazing of blissful warmth in the body, {lus la bde drod 'bar ba}; the blazing of potency in speech, {ngag la nus pa 'bar ba}, and the blazing ...
འབར་བ་ལྡན			[met.] the blazing one, Jupiter
འབར་བ་ལྔ་བཅུ་རྩ་བརྒྱད			the 58 blazing (deities
འབར་ཤ་བྱེད			yell, scold
འབར་འཛགས་ཀྱི་རྣལ་འབྱོར་བསྒོམ་པ			practice the yoga of blazing and dripping
འབེ་དྷ			itinerant musicians
འབེ་ལོག			going between a capital of column and long bow short bow
འབེབས			1) [cause to] fall/ descend; 2) strike down; 3) come/ bring/ be brought down; 4) rain [down] (/ [past: {phab}, future: {dbang}, imperative: {phob}!]
འབེབས་བཤད			by regional custom a bride not dismounting from a horse, as formerly explained
འབེབས་ལྔ			the five kinds of 'bebs: 1) {bar 'bebs}.; 2) {brkyang 'bebs}.; 3) {'bebs chen}. 4) {brkyang bskum 'bebs}. 5) {rdo rje thog 'bebs}.]
འབེབས་མཚོན			'bebs rten symbols de support of sight, according to former custom letter h combined w offering substance
འབེབས་པ			crashing thunderbolt cast down, throw down, cause to fall, put in place
འབེབས་རྟེན			spyan 'bebs zhu ba'i support of sight te according to former custom letter h combined w offering substance [zhu yig; name of object of offering below presented shog stong]
འབེད་ཀྱག			push, shove
འབེད་ཀྱག་གཏོང			push, shove
འབེལ			[comp 'bel po]
འབེལ་བ			1) temperate; 2) saving; 3) economical (/ [comp 'bel po]
འབེལ་བོ			plenty
འབེལ་དཀོན			1) many and few, plentiful and hard to find; 2) availability
འབེལ་གཏམ			1) discourse/ narrative [drawing out separate aspects of a topic/ giving a variety of accounts]; 3) rich/ elaborate speech
འབེལ་མཆིད			1) mutual elaborately explaining speech two letter
འབེལ་མྱུར			intensify
འབེལ་པ			abundant, plentiful
འབེལ་པོ			1) elaborate; 2) abundant many/ much; 3) temperate; 4) saving; 5) economical
འབེལ་ཉོ་དཀོན་འཚོང			buy when abundant sell when rare
འབེལ་གཏམ་རྣམ་པར་ངེས་པ་དྲུག			the six kinds of true elaborate speech [CHN]
འབེལ་གཏམ་བཤད་པའི་སྒོ་བཅུ་བཞི			the 14 doors of elaborate speech [CHN]
འབེལ་འབེལ་ལྷུག་ལྷུག			[food clothing etc. which 1 needs mkho 'don bya rgyu, depending on thon skyed ever more increasing common person tshang mar livelihood] elaborately and abundantly arising
འབེལ་བའི་གཏམ			elaborate/ rich speech
འབེམ			target; 1) target; 2) water vessel. 1) aim; 2) goal; 3) target [= 'ben]
འབེན			target; 1) aim; 2) goal; 3) target
འབེན་དུག			rags, tatters
འབེན་མིག			central circle of a target
འབེན་ར			archery/ firing range
འབེན་ས			target, bull's eye
འབེན་མཛད་པ			1) give an example; 2) object of intention
འབེན་མདའ་ལ			'ben mda' pass [between Lhari Dzong Lhari head and aar rtsa]
འབེན་མེད་མདའ་འཕེན			shoot an arrow w/o a target, aimless behavior
འབེན་ལ་གཏོད			aim at
འབེར			1) speak; 2) explain
འབེར་བ			1) speaker; 2) expositor
འབི་འབི			1) torma blank; 2) first rough version; 3) small [round] lumps)/ [clay wool dough etc]
འབིབས་པ			1) [newly] roof a house; 2) well pitched tent; 3) umbrella/ parasol cover; 4) go over the meaning of a text; 5) cover
འབིག			1) sting; 2) pierce
འབིག་པ			1) sting; 2) pierce
འབིགས			pierce[!] drill, bore holes
འབིགས་བྱེད			1) mountain in India; 2) piercer, driller; 3) lightning, mouse, arrow
འབིགས་ཆས			drilling equipment
འབིགས་པ			1) pierce; 2) cut into
འབིགས་ཚད			drilling rate/ level
འབིགས་གསོར་འཕྲུལ་འཁོར			drilling/ boring machine
འབིགས་བྱེད་པའི་འཕྲུལ་འཁོར			drilling/ boring machine
འབིང			tea-pot
འབིར			tremble/ shake
འབོ			1) grain measure of iron-bound wood [= 20 bre]; 2) dry measure 1 dou {to}; 3) [past: pho/ 'bos],, spill, transfer
འབོ་བ			pour out and discard
འབོ་བྲེ			the grain measures 'bo and bre
འབོ་ལེ			leisurely, unhurriedly
འབོ་ལོ			gsom/ thang tree
