# form	pos	lemma	sense	freq
འབོག་དྲིལ			package, parcel
འབོག་པ			be extracted, uprooted, pulled out, dislocated, unhinged, unload, grow loose, come off, drop off
འབོག་སྒྲིལ			cloth wrapper
འབོག་ཐོ			hat; soft felt hat with a broad brim trimmed with long hairy fur
འབོག་ཐུམ			anything packed or wrapped up
འབོགས་པ			impart, sink down, fall to the ground, be submerged, immersed, bestow advice, impart counsel
འབོགས་ཐོན			heightening, heighten practice, strengthens, utilize, refresh
འབོལ			comfortable, soft
འབོལ་འབོལ			spongy
འབོལ་བ			easy
འབོལ་གདན			cushion, stuffed cushions, pad, bolster, mattress
འབོལ་ལེ			relaxation, relaxed
འབོལ་པོ			soft; fluffy soft, soft, smooth, yielding, elastic, abundant, plentiful
འབོལ་ཤིག་གེར་བཏང			felt comfortable
འབོལ་ལེ་བ			relaxation
འབོལ་ལེ་ཤིག་གེ			remain quiet, tranquil
འབོལ་ལེ་ཤིག་གེ་སྡོད་པ			sit
འབོལ་ལ་འཇམ་པ			soft & tender
འབོལ་གདན་ཅན་གྱི་རྐུབ་སྟེགས			sofa
འབོམ			bomb
འབོམ་གཡུགས			to drop bombs
འབོང་འབོང			round, loose, slack, incoherent
འབོང་བ			roundness, rotundity
འབོར			throw, leave, place, amount, quantity, supply (great or small), to throw, fling, an amount
འབོར་བ			throw, cast, fling, leave, forsake, put down, place
འབོར་ཆེ			good supply, abundance, plenty
འབོར་ཆེན			large quantity, amount, number
འབོར་སྤུངས			grain heaped together in one place
འབོར་ཤོབ་བཤད་པ			boast
འབོས			concealed, latent, hidden, boil, bump, tumour, pour out, SA 'bo ba
འབོས་པའི་ནས			swelled barley
འབྲབ་པ			cast, throw, catch at suddenly, snatch away, beat, scourge, throw out, scatter
འབྲད་པ			scratch, scrape, tear with the claws, be wrathful
འབྲལ			forget
འབྲལ་བ			separate, take apart, be separated from, disconnected, come out, disentangled, release, get rid of, recover from, SA 'phral ba, sundered
འབྲལ་མེད			inseparable, indissoluble, constantly, constant, without ever separating, without ever separating, never separate from
འབྲལ་པའི་འབྲས་བུ			freedom result
འབྲལ་མི་རུང			not separated from
འབྲལ་ཐབས་མེད་པ			inseparable
འབྲལ་བར་མི་ཕོད			not able to part
འབྲལ་བར་བྱེད་པའི་བྱེད་རྒྱུ			active causal force for release
