# form	pos	lemma	sense	freq
འཆལ་བའི་ཤེས་རབ			faulty wisdom
འཆལ་པ			faulty
འཆལ་པའི་ཤེས་རབ			faulty wisdom
འཆལ་པའི་ཚུལ་ཁྲིམས			faulty ethics
འཆལ་ཚུལ་རྩོམ་པའི་དྲི་བྲལ			free from the stains of faulty ethics
འཆར			appear; dawn; shine; reflect; present themselves; manifest
འཆར་བ			appear; dawn; shine; reflect.
འཆར་ཚུལ			mode of appearing
འཆེལ་བ			fixation
འཆི			die; death
འཆི་འཕོ			transmigrate; transmigration; death; die
འཆི་འཕོ་བ			transmigrate
འཆི་འཕོ་བ་དང་སྐྱེ་བ་དང་མི་སྐྱེ་བ			non-arising of transmigration and rebirth
འཆི་འཕོ་བ་ཡང་མ་ཡིན			no rebirth
འཆི་འཕོ་དང་སྐྱེ་བ			transmigration and arising; transmigration and rebirth
འཆི་བ			death; dying
འཆི་བ་མེད་པའི་སྒོ			door of deathlessness
འཆི་བ་མི་རྟག་པ			imminence of death; impermanence of death
འཆི་བ་ངེས་པ			definiteness of death(N)
འཆི་བའི་ཚེ			time of death
འཆི་ཁ་མ			about to die
འཆི་རིམ་ཇི་ལྟ་བ་བཞིན་དུ			... as in the stages of death
འཆི་སྲིད			the death state
འཆིང་བ			bonds; bondage; binding
འཆིང་གྲོལ			bondage and liberation
འཆིངས			(1) to bind; (2) structure
འཆོལ་བ			confused; mixed up
འདའ			pass away; go beyond
འདའ་བ			pass away; go beyond
འདའ་བ་མེད			does not pass
འདའ་བར་འགྱུར			pass away; go beyond
འདའ་བར་བྱ་བ			pass away; go beyond
འདའ་བར་བྱེད			pass away; go beyond
འདའ་བར་མི་བྱ་བ			does not pass
འདབ་བརྒྱ			hundred petaled lotus
འདབ་མ			leaf; petal
འདག			to purify; to clean
འདམ་རྫབ			swamp; cesspool; mud (?)
འདས			pass; go beyond; supramundane(BJ 52.7); short for: mya ngan las 'das pa; [sorrow-from-passed]; nirvāṇa
འདས་བྱས་ནས			having passed; having gone beyond
འདས་ལམ			supramundane path(BJ 52.7)
འདས་ནས			having passed; having gone beyond
འདས་པ			past; pass away; go beyond; pastness
འདས་པ་དང་ད་ལྟར་བྱུང་བ			arising in the past and present
འདས་པ་དང་མ་འདས་པ་དང་ད་ལྟ་བྱུང་བ			arising in the past, future, and present
འདས་པ་ལ་སོགས་པར་དབྱེ་བ			division into past and so forth
འདས་སྨྲ་བ			Lokottara-vādin [Transcendentalists???]  (T)
འདེབས			plant; set; offer; put; sow; give; cast
འདེབས་པ			put; sow; plant; set; offer; give; cast
འདེགས			support
འདེགས་པ			support
འདི			this
འདི་བར			hereabouts
འདི་དག			these; those
འདི་དག་གཞན་པ			these and others
འདི་དག་ཀུན་རྟོག་པ་ཙམ			these are all merely conceptual
འདི་དག་ཕན་ཚུན			each other; mutually
འདི་གས་འདི			these
འདི་གཉིས			these two
འདི་ལ			in this; with respect to this
འདི་ལས			from this
འདི་ལྟ་འདི་ལྟར་གྱུར་ཅིག			and it is like this
འདི་ལྟ་བུ			[this-like]; like this; thus
འདི་ལྟ་སྟེ			it is like this, for example; it is the case that ... [often untranslatable]
འདི་ལྟ་སྟེ་དཔེར་ན			it is like this, for example
འདི་ལྟར			this way; it is like this(S)
འདི་ལྟར་འདས་པ			it occurred like this
འདི་ལྟར་དོན་ཇི་ལྟ་བ་བཞིན་དུ			it is like this: ...(S1)
འདི་ནས			from this
འདི་ནས་འཇིག་རྟེན་གྱི་ཁམས			from this worldly realm
འདི་ནི་མེད་དོ			that is not
འདི་ནི་ཡོད་དོ			that is
འདི་ཕྱིར་ཕན་ཡོན་ཆེ་བའི་ཐེག་ཆེན་མཐོང་ལམ			Great Vehicle path of seeing greatly beneficial in this and future lives
འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ			say/prounounce/explain/teach/speak/grant/order thus:
འདི་སྐད་ཅེས་གསོལ			spoke thus:(S)
འདི་སྐད་དུ			[X] says: ...(BJ 51.3)
